"","Scientific.name","SpcRecID","English.name","Family","Global.IUCN.Red.List.Category","Common.Name","Type.of.migration","Distribution.in.Indian.Sub.Continent","World.Distribution"
"142","Motacilla citreola",8410,"Citrine Wagtail","Motacillidae (Wagtails and pipits)","LC","Citrine Wagtail","local resident & widespread winter visitor","Afghanistan, Baluchistan, Himalayas, Chitral (NW Pakistan), Himachal, Indus Valley (Pakistan), S Peninsula, SE Sri Lanka","Palearctic, C Asia, ME to S China, SE asia"
"143","Motacilla flava",1018059,"Western Yellow Wagtail","Motacillidae (Wagtails and pipits)","LC","Yellow Wagtail","widespread winter visitor","N Afghanistan, N Panjab, Garo hills (W Meghalaya), NW India, W Nepal, NW Peninsula, Andamans, Nicobars, S India to Sri Lanka, Kashmir, Ladakh, Bhutan","Palearctic, Alaska, Africa to Australasia"
"144","Muscicapa dauurica",6490,"Asian Brown Flycatcher","Muscicapidae (Chats and Old World flycatchers)","LC","Asian Brown Flycatcher","local resident & widespread winter visitor","Himalayas, N Pakistan (Murree hills), Nepal, Bhutan, C India, E Ghats, W Ghats, Peninsula, Sri Lanka, Andamans, Nicobar, Meghalaya, NE Bangladesh, Ladakh, NE Asia","Indonesia, Philippines"
"145","Netta rufina",469,"Red-crested Pochard","Anatidae (Ducks, Geese, Swans)","LC","Red-crested Pochard","widespread winter visitor","NE & SW Afghanistan (Wakhan, Seistan), N plains from E Afghanistan to Assam valley, Bangladesh, Peninsula","S Palearctic, SE Asia"
"146","Nettapus coromandelianus",414,"Cotton Pygmy-goose","Anatidae (Ducks, Geese, Swans)","LC","Cotton Pygmy-Goose","widespread resident","NE Afghanistan (Kabul), NW Pakistan, W Kashmir, Sind, Gujarat,Delhi, Assam valley, Peninsula, Maldives, Sri Lanka, Andamans","E Asia, Australia"
"147","Numenius arquata",3012,"Eurasian Curlew","Scolopacidae (Sandpipers, Snipes, Phalaropes)","NT","Eurasian Curlew","widespread winter visitor","Maldives, Lakshadweep, Chagos, Andamans, Nicobars, Indus river (Pakistan), Ganges river (N India), Nepal, SW Afghanistan (seistan), E Afghanistan, Baluchistan, Indus Valley, Chitral to Ladakh, Bhutan, Assam valley, Manipur valley, Tapi river, Maha","N & C Palearctic, Africa, Indonesia, Philippines"
"148","Numenius phaeopus",3009,"Whimbrel","Scolopacidae (Sandpipers, Snipes, Phalaropes)","LC","Whimbrel","widespread winter visitor","coast of India, Sri Lanka, Lakshadweep, Maldives, Chagos, Andamans (South, Middle & Viper 1), Nicobars, EC Afghanistan (Lake Ab-I-Estada), Baluchistan, Sind, Gilgit, Kashmir to Bhutan, W India, Gangetic plain to Assam","Holarctic, Temperate & Tropical zone"
"149","Oenanthe deserti",6707,"Desert Wheatear","Muscicapidae (Chats and Old World flycatchers)","LC","Desert Wheatear","local resident & widespread winter visitor","Afghanistan, W Pakistan, Himalayas of Kashmir to C Nepal, NW india (Rajasthan, Gujarat), Kerala, Sri Lanka, Assam, Bangladesh","N Africa, Middle East, C Asia to W China"
"150","Oenanthe isabellina",6709,"Isabelline Wheatear","Muscicapidae (Chats and Old World flycatchers)","LC","Isabelline Wheatear","widespread winter visitor","Afghanistan, W Pakistan (N Baluchistan, S NWFP), NW India (gujarat, Rajasthan), Nepal, S India to Bombay, Maldives, Bhutan, Arunachal, Sri Lanka","E Europe to Mongolia, NE Africa, Middle East"
"151","Oenanthe picata",6701,"Variable Wheatear","Muscicapidae (Chats and Old World flycatchers)","LC","Variable Wheatear","widespread winter visitor","Afghanistan, W & N Pakistan, Khashmir, S Afghanistan, E Pakistan, W India, W Nepal, W Madhya Pradesh, N Maharashtra, SW Asia",""
